SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
77,0,18,-2.949325,-2.601368,-2.465566,-1.97232,-3.578686,-1.067602,-4.752155,-1.80295,-3.453119,-0.5853691,-3.859222,-3.642087,-4.337279,-4.016349,-2.917897,-0.7607772,-5.425802,-1.941651,-1.06923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
78,0,11,-4.587765,-5.305936,-3.385608,-2.550086,-3.453783,-2.390854,-3.820983,-4.825026,-2.068685,-5.161263,-0.674956,-0.3332147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
79,0,20,-4.968837,-2.818337,-3.199518,-0.6473594,-2.947172,-0.7888751,-4.658441,-0.7487766,-0.2915108,-0.8489779,-5.176456,-2.975271,-4.843733,-3.690312,-1.364868,-3.247362,-3.450921,-1.916023,-0.3659708,-5.769094,-0.872935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
80,0,6,-5.336814,-3.338918,-1.680517,-5.345283,-8.241085,-3.297518,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
81,0,10,-2.715695,-4.139023,-3.434638,-4.202637,-4.145011,-3.705003,-5.596987,-0.5852944,-4.273105,-1.164859,-0.3885146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
82,0,5,-3.23301,-1.927712,-7.058611,-1.993541,-1.350056,-0.6532125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
83,0,15,-4.322574,-3.271832,-0.4232459,-2.70168,-2.524369,-3.734898,-5.214319,-3.53085,-0.6587775,-2.831914,-4.206208,-5.49596,-0.5852944,-4.078249,-1.018975,-0.3348255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
84,0,3,-5.688997,-4.478161,-1.962407,-0.3296421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
85,0,7,-2.896955,-3.10462,-2.077547,-3.911216,-5.935376,-2.744706,-4.31018,-1.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
86,0,23,-2.949325,-1.728947,-3.29938,-3.673444,-0.8044802,-1.574773,-1.595188,-2.704416,-2.690595,-2.834949,-5.423964,-2.724276,-0.8457482,-2.77455,-1.467843,-6.32515,-4.919756,-4.831301,-1.882686,-4.5885,-5.821093,-3.073449,-5.339235,-2.368371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pittcssa
