SentenceID,CodeSwitchStatus,NumberOfWords,Surprisal1,Surprisal2,Surprisal3,Surprisal4,Surprisal5,Surprisal6,Surprisal7,Surprisal8,Surprisal9,Surprisal10,Surprisal11,Surprisal12,Surprisal13,Surprisal14,Surprisal15,Surprisal16,Surprisal17,Surprisal18,Surprisal19,Surprisal20,Surprisal21,Surprisal22,Surprisal23,Surprisal24,Surprisal25,Surprisal26,Surprisal27,Surprisal28,Surprisal29,Surprisal30,Surprisal31,Surprisal32,Surprisal33,Surprisal34,Surprisal35,Surprisal36,Surprisal37,Surprisal38,Surprisal39,Surprisal40,Surprisal41,Surprisal42,Surprisal43,Surprisal44,Surprisal45,Surprisal46,Surprisal47,Surprisal48,Surprisal49,Surprisal50,Surprisal51,Surprisal52,Surprisal53,Surprisal54,Surprisal55,Surprisal56,Surprisal57,Surprisal58,Surprisal59,Surprisal60,CorpusName
87,0,8,-5.269867,-3.501758,-4.013095,-3.427389,-0.39794,-3.289002,-4.646317,-4.89904,-1.018271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
88,0,4,-4.968837,-3.200132,-1.698972,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
89,0,7,-4.968837,-3.200132,-2.904897,-4.236109,-4.837657,-1.557103,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
90,0,8,-4.968837,-3.200132,-2.904897,-4.489428,-1.546944,-5.553166,-3.061277,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
91,0,4,-4.968837,-3.200132,-1.698972,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
92,0,11,-5.001022,-6.214663,-0.7362525,-1.618048,-2.141476,-6.490213,-0.7954103,-2.741585,-4.438024,-4.464475,-1.852045,-0.4984406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
93,0,5,-4.968837,-5.094895,-4.260427,-6.043305,#NAME?,-1.759638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
94,0,9,-6.527233,-6.425551,-1.263959,-5.35953,-6.229526,-0.370216,#NAME?,-5.243498,-0.9292497,-0.4977357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
95,0,4,-5.249664,-2.203687,-2.728526,-3.23472,-0.622718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
96,0,8,-2.791026,-5.695485,-4.807052,-0.8922411,-4.948161,-1.058331,-1.58121,-0.7346855,-0.589348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
97,0,19,-2.225141,-5.116298,-3.496271,-3.866924,-4.326461,-0.5364352,-1.860497,-2.180613,-1.36112,-0.4084151,-3.971305,-1.269655,-4.963278,-3.72347,-2.889442,-3.228392,-2.253413,-3.333082,-1.168985,-0.3427746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
98,0,16,-6.168573,-0.993751,-4.021988,-0.3343979,-4.924562,-1.382386,-3.033678,-1.911633,-1.423948,-7.681406,-0.7051303,-3.629706,-2.119776,-0.8893017,-1.581263,-1.366778,-0.3427746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
99,0,11,-5.313333,-0.3245111,-3.088767,-7.245153,-6.3942,-5.312318,-5.741721,-1.978777,-2.846885,-3.816025,-5.09868,-3.450374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psucssa
