SentenceID,NumberOfWords,AverageSurprisalWithPunct,CorpusName
603,4,3.9449467499999997,pittcssa
604,11,3.4772694545454543,pittcssa
605,13,3.440830353846153,pittcssa
606,15,2.9927928066666665,pittcssa
607,9,3.4971483111111112,pittcssa
609,19,3.026248968421053,pittcssa
610,23,3.214277604347826,pittcssa
611,5,5.2193342000000005,pittcssa
612,8,3.1266784125,pittcssa
613,7,4.011393571428572,pittcssa
614,6,3.930747883333334,pittcssa
615,3,4.043188333333334,pittcssa
616,32,3.0928088,pittcssa
617,16,3.5839551874999995,pittcssa
618,4,4.20982975,pittcssa
620,13,2.754501023076924,pittcssa
623,24,2.942906116666666,pittcssa
624,13,4.601360556923076,pittcssa
625,3,5.132369000000001,pittcssa
626,3,4.959089333333334,pittcssa
628,3,3.863774,pittcssa
631,6,3.383595,pittcssa
632,3,4.687741666666667,pittcssa
633,23,3.214277604347826,pittcssa
634,22,3.4079411363636365,pittcssa
635,3,4.850618666666667,pittcssa
636,15,3.9735619666666664,pittcssa
637,5,3.9232472,pittcssa
639,9,3.6442864444444445,pittcssa
640,4,2.6002278750000003,pittcssa
641,3,2.881422333333333,pittcssa
642,19,3.472132852631579,pittcssa
643,3,4.016154333333334,pittcssa
644,3,4.016154333333334,pittcssa
645,11,2.157473645454546,pittcssa
648,11,3.5563853636363643,pittcssa
649,3,4.010140333333333,pittcssa
650,5,3.7490040000000002,pittcssa
651,3,4.216192333333333,pittcssa
652,12,3.1163027000000003,pittcssa
653,4,3.5637925,pittcssa
654,20,3.4462383550000006,pittcssa
655,14,3.8475181071428572,pittcssa
656,5,3.932987420000001,pittcssa
657,11,4.377238090909091,pittcssa
658,3,4.648087666666667,pittcssa
659,5,4.233076,pittcssa
661,6,4.672860333333333,pittcssa
662,5,2.9297630000000003,pittcssa
664,8,3.8268218750000003,pittcssa
665,5,4.0921878000000005,pittcssa
666,3,5.887263333333333,pittcssa
668,5,3.69537342,pittcssa
669,5,3.6562246000000003,pittcssa
670,8,2.9652287125,pittcssa
671,10,2.80546388,pittcssa
672,7,3.987989285714286,pittcssa
673,3,4.184341333333333,pittcssa
676,10,3.73373889,pittcssa
678,6,3.304378666666667,pittcssa
679,19,2.941233605263158,pittcssa
680,8,2.69102385,pittcssa
681,3,3.9681936666666666,pittcssa
682,4,3.83137525,pittcssa
683,30,3.319934936666667,pittcssa
684,29,2.474602293103448,pittcssa
685,18,3.5823051833333333,pittcssa
686,13,3.8062721692307693,pittcssa
687,4,4.9537344999999995,pittcssa
688,5,4.471744600000001,pittcssa
