SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfFirstCodeSwitchedWord,AverageSurprisalOfSwitchPointWords,AaverageSurprisalOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
248,17,3.4339095647058824,5.523874,5.523874,3.1819659000000002,3.0595606352941176,psucssa
250,7,4.415290571428572,6.558447,6.558447,6.558447,3.478369571428572,psucssa
251,16,3.3051528125,5.743901,5.743901,3.4759405,2.87066025,psucssa
252,18,3.474879083333334,3.984201,4.479423,4.23580675,2.533588694444445,psucssa
253,27,3.444352914814815,4.394922,4.394922,4.394922,3.2815780259259264,psucssa
254,12,3.197630933333333,3.318794,3.318794,2.2726275,2.8188596833333333,psucssa
255,19,2.508528650526315,5.804013,5.145447000000001,2.6198326940000003,1.8190989942105265,psucssa
256,8,3.928049125,4.919989,4.919989,4.896923,2.703818375,psucssa
257,22,2.9259513636363637,3.995795,3.995795,3.995795,2.7443243181818184,psucssa
258,19,3.6315140263157897,4.776295,5.554362,5.554362,3.0468443421052633,psucssa
259,10,3.7585678000000002,4.204697,4.5245885,5.361645333333333,2.1500741999999997,psucssa
260,16,2.8839113,3.7407,3.7407,5.254837,2.2270566750000005,psucssa
261,25,3.087544708000001,2.743734,2.743734,4.756354,2.7070363880000006,psucssa
262,19,3.3525305631578948,3.819032,3.8010770000000003,3.9690661,1.2635484052631576,psucssa
263,9,3.3472745777777777,4.739743,4.739743,4.739743,2.820636466666666,psucssa
264,10,3.83872813,4.587765,4.587765,4.587765,3.37995163,psucssa
265,4,4.79119225,5.546258,5.546258,5.4927665,2.044809,psucssa
266,16,2.3476900062500006,3.40857,3.40857,3.40857,2.1346543812500003,psucssa
267,17,2.6747145823529417,2.753064,2.753064,2.9176035000000002,2.3314671117647063,psucssa
268,17,3.086454711764706,5.424779,4.732963,3.9119295571428574,1.475660188235294,psucssa
269,9,3.4296489999999995,5.047544,5.047544,5.047544,2.8688107777777776,psucssa
270,16,3.4243898125,4.814597,5.008141,4.714544,2.2457538125,psucssa
271,16,3.1999612,5.271541,5.271541,5.271541,2.8704898875000002,psucssa
272,7,3.0385379999999995,5.139338,5.139338,3.2870665000000003,2.0993761428571425,psucssa
273,8,3.4696330624999994,5.772667,5.772667,5.772667,2.7480496875,psucssa
274,8,3.223864125,4.674323,4.674323,3.4037123333333335,1.947472,psucssa
275,5,3.6699638,7.042348,4.9966465,4.9966465,1.6713052000000002,psucssa
276,9,3.325623744444444,5.298788,4.1290189999999996,3.6074423399999995,1.3214891111111111,psucssa
278,23,3.8887546956521737,2.212276,2.212276,4.1436090000000005,3.348283956521739,psucssa
279,8,4.34334575,2.791026,2.791026,3.5567085,2.5649914999999996,psucssa
280,7,4.383447,5.45426,5.7131886666666665,5.7131886666666665,1.9349375714285715,psucssa
281,13,3.6448664153846146,2.924527,2.924527,3.5872506,2.2651546461538463,psucssa
282,9,4.1363389999999995,5.341364,5.341364,5.09103,3.0049989999999998,psucssa
